friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
PRIEST,PRIEST,6,7517,51.316,0.720814367,54,-15.2035,7.824690118,444,-6.58,3.248383949,322,4.568,2.383832328
PRIEST,PRIEST,7,7582,52.316,0.793617245,85,-33.8035,6.307353103,409,-6.02,3.53210846,525,3.32,3.304845083
PRIEST,PRIEST,8,7560,52.44,0.637942465,118,-15.44,6.64868212,235,-11.6,4.381709262,640,5.688,2.538240987
PRIEST,PRIEST,9,6920,53.248,0.773469224,33,-22.85976471,11.21721035,599,-7.424,2.001169079,818,2.58,1.562033377
PRIEST,PRIEST,10,6410,53.808,0.880091298,31,6.192,11.86629298,437,-12.12,2.575022343,735,5.38,2.162605908
PRIEST,PRIEST,11,6088,54.08,0.880882607,20,24.12769231,10.79285097,341,-3.028,3.363452852,538,5.58,3.091233574
PRIEST,PRIEST,12,5904,54.12,0.870141348,20,12.55142857,14.5756497,248,1.084,4.204270158,467,8.076,2.395607007
PRIEST,ROGUE,3,7946,46.668,0.718143563,32,-7.223555556,13.06935731,207,-2.604,3.567081119,18,-3.609666667,16.61309396
PRIEST,ROGUE,4,5111,44.92,0.939194425,79,-3.254782609,6.025717996,3385,4.028,0.867665397,325,-0.296,4.056449337
PRIEST,ROGUE,5,5322,45.12,0.733881244,185,-3.516,6.131361081,602,-0.696,2.576316965,107,-2.665833333,6.205473162
PRIEST,ROGUE,6,5309,45.04,0.674990734,179,-10.356,5.062745883,623,3.236,2.128828219,189,6.972,5.165412704
PRIEST,ROGUE,7,5205,45.9,0.834652444,245,-16.852,3.275030249,465,2.656,2.695043412,247,12.004,3.511641331
PRIEST,ROGUE,8,5113,46.36,0.750669611,179,-12.504,6.498338428,324,1.252,3.284890099,285,10.7,3.680014679
PRIEST,ROGUE,9,4707,45.944,1.000781521,15,1.278222222,19.64139445,539,3.236,2.349502311,364,23.02,3.281373557
PRIEST,ROGUE,10,4450,45.528,0.921706756,31,20.02755556,10.55785271,291,6.908,3.718690071,289,18.832,4.047587373
PRIEST,ROGUE,11,4392,45.528,0.90471276,22,16.01046154,15.53680648,144,10.05533333,6.307790538,146,18.78,5.843601433
PRIEST,ROGUE,12,4358,45.952,0.820634587,9,30.23371429,20.11332349,78,11.123,9.073095145,105,10.908,6.916737475
PRIEST,SHAMAN,3,17770,50.268,0.556649902,75,-13.30609524,7.681401886,517,1.212,2.72455825,52,10.56836364,9.46963418
PRIEST,SHAMAN,4,11159,48.512,0.511076003,206,-10.696,6.031123161,7850,4.924,1.075736249,709,3.4,2.009059466
PRIEST,SHAMAN,5,11588,49.088,0.594774977,479,-10.052,3.090610688,1275,0.812,2.445704735,280,-0.872,3.90021175
PRIEST,SHAMAN,6,11677,49.364,0.35931038,292,-11.968,4.147710838,1326,5.52,2.25162495,483,4.5,3.082986798
PRIEST,SHAMAN,7,11490,50.012,0.46801962,378,-16.692,3.456350493,1058,1.256,2.311773362,673,4.544,3.055601606
PRIEST,SHAMAN,8,11333,51.028,0.43355177,258,-18.824,3.195650374,679,1.708,2.971575376,923,8.052,1.509033555
PRIEST,SHAMAN,9,10110,51.276,0.428054676,53,-6.976,10.05883059,1228,0.68,1.746302686,1232,7.72,1.800936334
PRIEST,SHAMAN,10,9182,51.064,0.475120192,48,7.872363636,10.15048152,722,1.904,1.952525054,1128,10.76,1.715999651
PRIEST,SHAMAN,11,8864,51.572,0.504149235,29,17.87466667,12.48632062,361,0.46,3.492806978,694,10.952,1.80040636
PRIEST,SHAMAN,12,8733,51.948,0.488022112,20,-13.48646154,13.94829856,273,9.208,3.781347936,475,11.4,3.467604935
PRIEST,WARLOCK,3,7194,49.052,1.046800755,8,25.948,22.21793455,124,-5.856,6.266136069,42,-7.743304348,10.71320129
PRIEST,WARLOCK,4,5914,47.372,1.074371111,46,-2.924380952,9.350357684,1787,6.64,1.782200449,480,0.228,4.184104501
PRIEST,WARLOCK,5,6257,47.644,0.981737373,100,-4.812,6.03601035,458,2.656,2.681420235,177,-3.268,4.559912841
PRIEST,WARLOCK,6,6526,48.024,0.840054266,113,1.472,7.089636903,371,-0.624,4.290265033,247,-1.448,4.959299976
PRIEST,WARLOCK,7,6439,48.944,0.872668668,140,-6.304,6.135615328,350,-2.656,2.664820709,463,0.088,2.602503522
PRIEST,WARLOCK,8,6340,48.62,0.982183665,112,2.775833333,7.045648204,234,7.9,3.012728461,552,1.46,2.392777385
PRIEST,WARLOCK,9,5902,48.94,0.948519849,22,18.84,12.56999176,398,2.14,3.567841556,680,3.272,3.35729885
PRIEST,WARLOCK,10,5408,49.532,0.899351093,27,9.291529412,13.8720622,329,2.032,2.343786043,652,-0.396,2.673295561
PRIEST,WARLOCK,11,5136,50.132,0.888259546,22,-1.917714286,14.95701241,218,-2.52,3.960106351,508,-0.788,2.847456182
PRIEST,WARLOCK,12,4959,50.396,0.962446386,16,21.264,14.98538367,166,-1.876,5.368806191,393,-1.9,2.699752574
PRIEST,WARRIOR,3,13833,52.58,0.580692864,134,-23.884,4.096305458,423,-5.756,3.631144652,20,9.92,15.18075308
PRIEST,WARRIOR,4,8059,51.444,0.819842762,314,-15.256,3.673799051,6749,2.908,0.919180206,257,14.472,3.071227394
PRIEST,WARRIOR,5,8149,51.888,0.660677557,774,-12.44,2.031049781,848,6.756,2.068307747,101,15.787,4.736872109
PRIEST,WARRIOR,6,8235,52.596,0.767165521,431,-17.416,1.890557334,798,12.228,2.122780928,151,24.92,5.878528084
PRIEST,WARRIOR,7,8194,53.04,0.763458561,423,-9.032,2.999358951,533,20.092,2.236255333,227,23.156,4.848538923
PRIEST,WARRIOR,8,8066,53.74,0.742354092,259,-4.264,4.614979128,435,19.236,2.671825655,307,23.096,2.118024715
